,heur_naive,heur_naive_bis,heur_naive_triee_selon_poids,heur_naive_triee_selon_poids_depl_obj,heur_naive_triee_selon_poids_depl_obj_bis,heur_naive_triee_selon_poids_depl_obj_ter
bench_19_11,35,44,48,43,26,26
bench_19_12,33,42,52,46,30,34
bench_19_13,20,16,26,17,15,17
bench_19_14,66,94,40,34,92,92
bench_19_15,54,77,61,61,48,48
bench_19_16,37,81,42,42,20,20
bench_19_17,34,55,42,36,28,34
bench_19_18,26,53,34,25,18,20
bench_19_19,44,58,21,21,11,15
bench_20_0,34,51,31,20,8,11
bench_20_1,43,60,57,52,14,23
bench_20_2,24,27,31,31,18,18
bench_20_3,34,44,19,19,11,11
bench_20_4,52,59,49,44,26,30
bench_20_5,36,47,45,39,36,39
bench_20_6,19,21,28,28,20,28
bench_20_7,27,30,29,29,20,28
bench_20_8,23,20,26,20,13,19
bench_20_9,16,44,39,33,11,15
bench_20_10,20,38,32,24,4,5
bench_20_11,44,54,36,32,12,12
bench_20_12,23,27,34,26,12,17
bench_20_13,41,58,48,42,31,31
bench_20_14,32,31,41,34,31,37
bench_20_15,20,30,49,36,24,24
bench_20_16,39,74,34,30,20,20
bench_20_17,33,36,38,27,22,22
bench_20_18,65,70,53,48,11,16
bench_20_19,22,41,35,27,14,16
Moyenne,=MOYENNE(B2:B382),=MOYENNE(C2:C382),=MOYENNE(D2:D382),=MOYENNE(E2:E382),=MOYENNE(F2:F382),=MOYENNE(G2:G382)
